Chris Pratt,1979,Guardians of the Galaxy
Zoe Saldana,1978,Guardians of the Galaxy
Dave Bautista,1969,Guardians of the Galaxy
Vin Diesel,1967,Guardians of the Galaxy
Bradley Cooper,1975,Guardians of the Galaxy
Lee Pace,1979,Guardians of the Galaxy
Michael Rooker,1955,Guardians of the Galaxy
Karen Gillan,1987,Guardians of the Galaxy
Djimon Hounsou,1964,Guardians of the Galaxy
Ellen Burstyn,1932,Interstellar
Matthew McConaughey,1969,Interstellar
Mackenzie Foy,2000,Interstellar
John Lithgow,1945,Interstellar
David Oyelowo,1976,Interstellar
Collette Wolfe,1980,Interstellar
Francis X. McCarthy,1942,Interstellar
Bill Irwin,1950,Interstellar
Ralph Fiennes,1962,The Grand Budapest Hotel
F. Murray Abraham,1939,The Grand Budapest Hotel
Mathieu Amalric,1965,The Grand Budapest Hotel
Adrien Brody,1973,The Grand Budapest Hotel
Willem Dafoe,1955,The Grand Budapest Hotel
Jeff Goldblum,1952,The Grand Budapest Hotel
Harvey Keitel,1939,The Grand Budapest Hotel
Jude Law,1972,The Grand Budapest Hotel
Bill Murray,1950,The Grand Budapest Hotel
